resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,milliseconds,fastestLap,rank,statusId,date
22133,897,812,205,13.0,21,,16,0.0,29,,30.0,14.0,132,2014-03-16 06:00:00
22134,897,816,8,3.0,2,,22,0.0,57,5603235.0,,0.0,2,2014-03-16 06:00:00
22135,897,154,204,10.0,14,,21,0.0,0,,,0.0,4,2014-03-16 06:00:00
22136,897,12,2,19.0,9,,20,0.0,0,,2.0,19.0,4,2014-03-16 06:00:00
22137,897,0,129,44.0,1,,19,0.0,2,,2.0,20.0,5,2014-03-16 06:00:00
22138,897,19,8,1.0,12,,18,0.0,3,,26.0,17.0,5,2014-03-16 06:00:00
22139,897,827,204,9.0,19,,17,0.0,27,,17.0,18.0,51,2014-03-16 06:00:00
22140,897,153,205,8.0,22,,15,0.0,43,,41.0,15.0,132,2014-03-16 06:00:00
22141,897,819,203,4.0,17,13.0,13,0.0,55,,33.0,12.0,12,2014-03-16 06:00:00
22142,897,2,129,6.0,3,1.0,1,25.0,57,5578710.0,19.0,1.0,1,2014-03-16 06:00:00
22143,897,824,0,20.0,4,2.0,2,18.0,57,5605487.0,49.0,6.0,1,2014-03-16 06:00:00
22144,897,823,203,17.0,18,,14,0.0,49,,55.0,16.0,18,2014-03-16 06:00:00
22145,897,3,5,14.0,5,4.0,4,12.0,57,5613994.0,57.0,7.0,1,2014-03-16 06:00:00
22146,897,821,2,77.0,15,5.0,5,10.0,57,5626349.0,56.0,3.0,1,2014-03-16 06:00:00
22147,897,807,9,27.0,7,6.0,6,8.0,57,5629428.0,56.0,2.0,1,2014-03-16 06:00:00
22148,897,17,0,22.0,10,3.0,3,15.0,57,5608737.0,39.0,5.0,1,2014-03-16 06:00:00
22149,897,817,4,25.0,6,8.0,8,4.0,57,5639151.0,56.0,10.0,1,2014-03-16 06:00:00
22150,897,825,4,26.0,8,9.0,9,2.0,57,5642295.0,35.0,11.0,1,2014-03-16 06:00:00
