year,round,event_name,circuit_id,circuit_ref,altitude_m,length_m,corners_count,rotation,avg_track_temp,avg_air_temp,avg_humidity
2021,1,Bahrain Grand Prix,2,bahrain,7.0,5245.0,15,92.0,33.8,29.1,46.5
2021,2,Emilia Romagna Grand Prix,20,imola,37.0,5058.0,19,0.0,26.9,13.7,42.0
2021,3,Portuguese Grand Prix,72,portimao,108.0,4305.0,15,74.0,37.2,18.1,41.7
2021,4,Spanish Grand Prix,3,catalunya,109.0,4591.0,16,303.0,44.6,25.1,47.6
2021,5,Monaco Grand Prix,5,monaco,7.0,3106.0,19,315.0,32.7,18.7,72.3
2021,6,Azerbaijan Grand Prix,71,baku,-7.0,5220.0,20,357.0,47.3,26.0,47.6
2021,7,French Grand Prix,33,ricard,432.0,5524.0,15,0.0,44.3,29.3,45.0
2021,8,Styrian Grand Prix,69,red_bull_ring,678.0,4159.0,10,1.0,53.9,25.8,28.5
2021,9,Austrian Grand Prix,69,red_bull_ring,678.0,4163.0,10,1.0,51.7,25.6,27.2
2021,10,British Grand Prix,8,silverstone,153.0,5981.0,18,92.0,38.8,24.9,54.4
2021,11,Hungarian Grand Prix,10,hungaroring,264.0,4266.0,16,40.0,59.2,29.3,46.6
2021,12,Belgian Grand Prix,12,spa,401.0,7092.0,19,91.0,17.6,14.3,93.0
2021,13,Dutch Grand Prix,38,zandvoort,6.0,3945.0,14,0.0,35.2,19.1,62.1
2021,14,Italian Grand Prix,13,monza,162.0,5460.0,11,95.0,32.0,25.4,43.5
2021,15,Russian Grand Prix,70,sochi,2.0,5994.0,18,324.0,16.4,14.0,77.8
2021,16,Turkish Grand Prix,4,istanbul,130.0,5257.0,14,336.0,22.7,18.4,81.5
2021,17,United States Grand Prix,68,americas,161.0,5547.0,20,0.0,36.7,29.6,55.3
2021,18,Mexico City Grand Prix,31,rodriguez,2227.0,4285.0,17,36.0,45.0,21.6,20.1
2021,19,São Paulo Grand Prix,17,interlagos,785.0,4209.0,15,258.0,25.0,15.7,80.2
2021,20,Qatar Grand Prix,75,losail,0.0,4916.0,16,61.0,29.2,25.9,66.6
2021,21,Saudi Arabian Grand Prix,74,jeddah,15.0,5801.0,27,104.0,30.9,28.2,72.1
2021,22,Abu Dhabi Grand Prix,23,yas_marina,3.0,5290.0,16,280.0,29.2,25.1,57.4
