driverId,season,skill_score,n_races
0,2007,1.1752762,16
0,2008,1.189807,17
0,2009,0.95621353,14
0,2010,1.2218181,16
0,2011,1.1307664,16
0,2012,1.0503556,15
0,2013,1.0669284,18
0,2014,1.0409937,16
0,2015,1.0717026,18
0,2016,1.0604033,19
0,2017,1.0602049,20
0,2018,1.0834297,20
0,2019,1.0946884,21
0,2020,1.0794709,16
0,2021,1.094779,21
0,2022,1.0467633,21
0,2023,1.0762476,21
0,2024,0.9556915,22
0,2025,1.0310389,21
1,2000,-0.37175512,6
1,2001,0.07559743,11
1,2002,0.07368803,14
1,2003,-0.10377768,12
1,2004,-0.37269112,11
1,2005,-0.09430561,9
1,2006,-0.1199583,15
1,2007,0.113717034,15
1,2008,0.09326772,18
1,2009,-0.116140984,15
1,2010,-0.43690565,4
1,2011,-0.24069372,8
2,2006,0.05493556,9
2,2007,0.1874229,14
2,2008,0.24981856,16
2,2009,0.41954926,16
2,2010,0.36010075,16
2,2011,0.33409205,17
2,2012,0.41048297,17
2,2013,0.4942517,17
2,2014,0.6716323,17
2,2015,0.69924563,18
2,2016,0.71955866,20
3,2001,-0.14308082,9
3,2003,0.67375225,11
3,2004,0.69006336,13
3,2005,0.9415384,17
3,2006,0.88267964,16
3,2007,0.9656234,16
3,2008,0.663967,15
3,2009,0.4821105,14
3,2010,0.73157877,18
3,2011,0.7833086,18
3,2012,0.8123242,18
3,2013,0.83694935,18
3,2014,0.76349,17
3,2015,-0.06962721,11
3,2016,0.22488838,17
3,2017,-0.043975126,11
3,2018,0.1478276,15
3,2021,0.42312282,20
3,2022,0.38710284,17
3,2023,0.66623795,20
3,2024,0.42310113,23
3,2025,0.17159937,19
4,2007,0.1601817,16
4,2008,0.48016724,15
4,2009,0.1458954,12
4,2010,-0.43719,13
4,2011,-0.3841498,14
4,2012,-0.43609816,19
4,2013,-0.10799186,2
5,2007,-0.9738798,1
5,2008,-0.8381079,16
5,2009,-0.7454446,13
6,2008,-0.37463945,14
6,2009,-0.41453782,6
7,2001,0.41356283,10
7,2002,0.7125779,7
7,2003,0.70932776,13
7,2004,0.42505684,10
7,2005,0.8221868,16
7,2006,0.63848656,12
7,2007,0.74533015,15
7,2008,0.8116127,16
7,2009,0.5617324,15
7,2012,0.5517918,20
7,2013,0.6010831,15
7,2014,0.30973446,18
7,2015,0.5452927,14
7,2016,0.5352732,17
7,2017,0.7006218,17
7,2018,0.61276263,17
7,2019,0.0063485224,19
7,2020,-0.15732889,16
7,2021,0.06605704,18
8,2006,-0.123046085,5
8,2007,-0.056911197,13
8,2008,0.156765,16
8,2009,-0.35796747,14
8,2010,-0.083729416,16
8,2019,-0.8261456,19
8,2021,-0.857253,2
9,2004,-0.48502666,4
9,2008,0.024046417,14
9,2009,0.17935781,14
9,2010,-0.6122094,10
9,2011,-0.5928596,13
9,2012,-0.53264725,19
10,2002,-0.83939505,10
10,2003,-0.78563327,1
10,2004,-0.71700287,13
10,2005,-0.71029294,8
10,2006,-0.8999735,10
10,2007,-0.87585604,14
10,2008,-0.8933525,3
11,2008,-0.024610404,9
11,2009,-0.214326,8
12,2002,0.26992247,8
12,2004,0.073826596,14
12,2005,0.0796943,16
12,2006,0.45115015,16
12,2007,0.55142653,15
12,2008,0.64183015,16
12,2009,0.31282058,7
12,2010,0.417865,18
12,2011,0.42509776,16
12,2012,0.24462642,19
12,2013,0.2798495,17
12,2014,0.3487856,16
12,2015,0.4243936,16
12,2016,0.19060552,18
12,2017,0.12392996,17
13,1994,0.49948698,5
13,1995,0.69846416,9
13,1996,0.43582153,9
13,1997,0.5364479,10
13,1998,0.6386071,12
13,1999,0.6548565,9
13,2000,0.693349,14
13,2001,0.6619599,13
13,2002,0.5986067,13
13,2003,0.43710363,11
13,2004,0.18483445,14
13,2005,-0.026678788,14
13,2006,-0.1387992,13
13,2007,0.0013419539,10
13,2008,-0.01993111,13
14,1997,-0.22028475,10
14,1998,-0.34559557,7
14,1999,0.10805373,8
14,2000,0.184315,10
14,2001,0.18545566,8
14,2002,0.15853734,8
14,2003,0.19834794,11
14,2004,0.09057591,14
14,2005,0.07287596,15
14,2006,-0.30503276,13
14,2007,-0.22280516,13
14,2008,-0.079687305,15
14,2009,0.002133978,13
14,2010,-0.5985172,11
14,2011,-0.6116336,14
15,2007,-0.7212245,10
15,2008,-0.7121156,7
15,2009,-0.533742,13
15,2010,-0.4435589,15
15,2011,-0.38829958,17
15,2013,-0.3109857,15
15,2014,-0.44749066,12
16,2002,-0.12087643,10
16,2003,0.43846932,11
16,2004,0.3406494,10
16,2005,0.33673364,13
16,2006,0.23911354,7
16,2007,0.11563115,10
16,2008,0.23476587,15
16,2009,0.6172772,15
16,2010,0.69880897,17
16,2011,0.73875165,18
16,2012,0.5673737,18
16,2013,0.5111995,16
17,2000,0.18774648,11
17,2001,-0.0959737,11
17,2002,0.35594955,12
17,2003,0.16798058,10
17,2004,0.64035004,15
17,2005,0.52027506,11
17,2006,0.40902212,14
17,2007,-0.13803507,11
17,2008,-0.12660913,14
17,2009,0.51176417,16
17,2010,0.43324474,17
17,2011,0.6548172,17
17,2012,0.3150793,18
17,2013,0.22091903,19
17,2014,0.24875297,18
17,2015,-0.23302993,13
17,2016,-0.10582747,15
18,2007,-0.71562976,12
18,2008,-0.7507924,2
19,2007,0.31578264,5
19,2008,0.4532911,12
19,2009,0.9390944,14
19,2010,1.0225477,16
19,2011,1.0283475,18
19,2012,0.99383765,19
19,2013,1.016293,18
19,2014,0.75977767,16
19,2015,1.0327725,18
19,2016,0.9215657,17
19,2017,0.9971683,18
19,2018,1.0398784,20
19,2019,0.93935025,19
19,2020,0.35184866,15
19,2021,0.52384406,19
19,2022,0.32893804,18
20,1996,-0.41562116,3
20,1997,0.11963354,13
20,1998,0.120268844,11
20,1999,-0.006183663,10
20,2000,-0.065053634,12
20,2001,-0.21118708,11
20,2002,0.05887767,8
20,2003,-0.1627824,7
20,2004,-0.23414993,17
