driverId,season,skill_score,n_races
0,2007,1.2087246,16
0,2008,1.0753754,17
0,2009,0.6968118,14
0,2010,1.1691649,16
0,2011,1.153797,16
0,2012,0.9689009,15
0,2013,1.0870495,18
0,2014,1.1343966,16
0,2015,1.1625234,18
0,2016,1.1831594,19
0,2017,1.099458,20
0,2018,1.1661515,20
0,2019,1.083832,21
0,2020,1.1237715,16
0,2021,1.0564711,21
0,2022,0.89200157,21
0,2023,0.8993989,21
0,2024,0.7324472,22
0,2025,0.73472184,21
1,2000,-0.5340236,6
1,2001,-0.11272462,11
1,2002,-0.124539174,14
1,2003,-0.21374996,12
1,2004,-0.35476318,11
1,2005,-0.073190026,9
1,2006,0.007866833,15
1,2007,0.08832709,15
1,2008,-0.033857692,18
1,2009,-0.19404843,15
1,2010,-0.23935409,4
1,2011,-0.20805502,8
2,2006,0.06375808,9
2,2007,0.18552664,14
2,2008,0.043477107,16
2,2009,0.22236931,16
2,2010,0.33736274,16
2,2011,0.34684443,17
2,2012,0.26459247,17
2,2013,0.40930605,17
2,2014,0.532267,17
2,2015,0.477052,18
2,2016,0.5600507,20
3,2001,-0.10072604,9
3,2003,0.45744094,11
3,2004,0.8386424,13
3,2005,1.0589857,17
3,2006,1.0718528,16
3,2007,1.0424514,16
3,2008,0.5543486,15
3,2009,0.44137913,14
3,2010,0.7603528,18
3,2011,0.87994266,18
3,2012,0.80275613,18
3,2013,0.8287985,18
3,2014,0.63448447,17
3,2015,0.0059693484,11
3,2016,0.20214795,17
3,2017,-0.11016748,11
3,2018,0.115012504,15
3,2021,0.2378761,20
3,2022,0.3262696,17
3,2023,0.4051648,20
3,2024,0.2672621,23
3,2025,0.10031839,19
4,2007,0.05357812,16
4,2008,0.22299255,15
4,2009,-0.06593763,12
4,2010,-0.398665,13
4,2011,-0.37662777,14
4,2012,-0.48898607,19
4,2013,-0.116983324,2
5,2007,-0.54948264,1
5,2008,-0.6199945,16
5,2009,-0.48069912,13
6,2008,-0.50107753,14
6,2009,-0.38865754,6
7,2001,0.34798008,10
7,2002,0.5854053,7
7,2003,0.5469423,13
7,2004,0.5417815,10
7,2005,0.9097152,16
7,2006,0.79867667,12
7,2007,0.81381994,15
7,2008,0.66770303,16
7,2009,0.506088,15
7,2012,0.56035644,20
7,2013,0.6201729,15
7,2014,0.28963307,18
7,2015,0.39769077,14
7,2016,0.5370781,17
7,2017,0.4819414,17
7,2018,0.5389604,17
7,2019,0.06080556,19
7,2020,-0.11555272,16
7,2021,0.0004382059,18
8,2006,0.11525164,5
8,2007,0.112879835,13
8,2008,0.08454398,16
8,2009,-0.18550436,14
8,2010,0.1040221,16
8,2019,-0.8453403,19
8,2021,-0.9096283,2
9,2004,-0.515268,4
9,2008,-0.33393398,14
9,2009,-0.13056956,14
9,2010,-0.7144701,10
9,2011,-0.73063225,13
9,2012,-0.7334404,19
10,2002,-0.6794798,10
10,2003,-0.40526718,1
