driverId,season,skill_score,n_races
0,2007,1.272348,16
0,2008,1.1175543,17
0,2009,0.8594171,14
0,2010,1.217356,16
0,2011,1.170542,16
0,2012,0.9994766,15
0,2013,1.1641736,18
0,2014,1.1575233,16
0,2015,1.1998892,18
0,2016,1.1958946,19
0,2017,1.1392167,20
0,2018,1.2039465,20
0,2019,1.1348773,21
0,2020,1.1620951,16
0,2021,1.1020205,21
0,2022,0.9467725,21
0,2023,0.92061514,21
0,2024,0.7835821,22
0,2025,0.7585369,21
1,2000,-0.3756723,6
1,2001,-0.11578293,11
1,2002,-0.26212078,14
1,2003,-0.26278153,12
1,2004,-0.26690838,11
1,2005,-0.083582364,9
1,2006,-0.03161695,15
1,2007,0.023173157,15
1,2008,-0.078964725,18
1,2009,-0.24108535,15
1,2010,-0.29418758,4
1,2011,-0.20413835,8
2,2006,0.17009994,9
2,2007,0.26657858,14
2,2008,0.11204323,16
2,2009,0.25430882,16
2,2010,0.34196833,16
2,2011,0.35366595,17
2,2012,0.2774055,17
2,2013,0.47078693,17
2,2014,0.52810746,17
2,2015,0.45155635,18
2,2016,0.52766097,20
3,2001,0.18160398,9
3,2003,0.5438404,11
3,2004,0.7584194,13
3,2005,0.9700176,17
3,2006,1.0036705,16
3,2007,0.92852277,16
3,2008,0.4878307,15
3,2009,0.39420202,14
3,2010,0.71720445,18
3,2011,0.7720283,18
3,2012,0.7317298,18
3,2013,0.7875215,18
3,2014,0.53505856,17
3,2015,0.07841139,11
3,2016,0.2219341,17
3,2017,0.010492534,11
3,2018,0.17855123,15
3,2021,0.21955533,20
3,2022,0.2583123,17
3,2023,0.37526506,20
3,2024,0.19400924,23
3,2025,0.07607237,19
4,2007,0.039102696,16
4,2008,0.16987228,15
4,2009,-0.031233797,12
4,2010,-0.33814064,13
4,2011,-0.2915031,14
4,2012,-0.38129556,19
4,2013,-0.029406015,2
5,2007,-0.6146998,1
5,2008,-0.43931538,16
5,2009,-0.29367185,13
6,2008,-0.6008789,14
6,2009,-0.50943774,6
7,2001,0.3050889,10
7,2002,0.468638,7
7,2003,0.63651246,13
7,2004,0.53131604,10
7,2005,0.9439023,16
7,2006,0.7902065,12
7,2007,0.8571736,15
7,2008,0.64513373,16
7,2009,0.48909777,15
7,2012,0.5860309,20
7,2013,0.7247814,15
7,2014,0.31516016,18
7,2015,0.3777506,14
7,2016,0.49909434,17
7,2017,0.44252038,17
7,2018,0.50618875,17
7,2019,0.030084321,19
7,2020,-0.030218408,16
7,2021,0.047933236,18
8,2006,0.08604686,5
8,2007,-0.012640763,13
8,2008,0.032535344,16
8,2009,-0.3238252,14
8,2010,-0.035196118,16
8,2019,-1.0267591,19
8,2021,-0.8990827,2
9,2004,-0.7312006,4
9,2008,-0.46774745,14
9,2009,-0.298635,14
9,2010,-0.87210494,10
9,2011,-0.8632529,13
9,2012,-0.8424235,19
10,2002,-0.5370422,10
10,2003,-0.07156213,1
10,2004,-0.21092589,13
10,2005,-0.35675025,8
10,2006,-0.6269664,10
10,2007,-0.66678524,14
10,2008,-0.8959086,3
11,2008,-0.2730474,9
11,2009,-0.37153715,8
12,2002,0.0016557984,8
12,2004,0.24054861,14
12,2005,0.3119014,16
12,2006,0.5574314,16
12,2007,0.5964877,15
12,2008,0.47652748,16
12,2009,0.1929916,7
12,2010,0.38744,18
12,2011,0.3061851,16
12,2012,0.24951312,19
12,2013,0.3167521,17
12,2014,0.16272463,16
12,2015,0.14721388,16
12,2016,-0.0076074097,18
12,2017,-0.051500443,17
13,1994,0.37140268,5
13,1995,0.63134676,9
13,1996,0.2618871,9
13,1997,0.28078172,10
13,1998,0.366877,12
13,1999,0.5747368,9
13,2000,0.56375855,14
13,2001,0.40231642,13
13,2002,0.18899065,13
13,2003,0.16786392,11
13,2004,0.18528484,14
13,2005,0.16230105,14
13,2006,0.03618247,13
13,2007,-0.020825386,10
13,2008,-0.16686434,13
14,1997,-0.30965135,10
14,1998,-0.2773591,7
14,1999,-0.059819467,8
14,2000,-0.07849032,10
14,2001,-0.05944382,8
14,2002,-0.27526152,8
14,2003,-0.14018296,11
14,2004,0.11829476,14
14,2005,0.0073142448,15
14,2006,-0.19253452,13
14,2007,-0.29318804,13
14,2008,-0.28169325,15
14,2009,-0.22186083,13
14,2010,-0.6491377,11
14,2011,-0.7031102,14
15,2007,-0.8044173,10
15,2008,-0.92840797,7
15,2009,-0.6954463,13
15,2010,-0.30185685,15
15,2011,-0.32251003,17
