driverId,season,skill_score,n_races
0,2007,0.75567865,16
0,2008,0.74199235,17
0,2009,0.67011595,14
0,2010,0.68890727,16
0,2011,0.7002009,16
0,2012,0.6965448,15
0,2013,0.7101644,18
0,2014,0.8346764,16
0,2015,0.81274414,18
0,2016,0.8109073,19
0,2017,0.81028223,20
0,2018,0.8176753,20
0,2019,0.8204275,21
0,2020,0.85030264,16
0,2021,0.7856785,21
0,2022,0.72544616,21
0,2023,0.6992416,21
0,2024,0.682714,22
0,2025,0.6510045,21
1,2000,0.13588963,6
1,2001,0.2634456,11
1,2002,0.25399998,14
1,2003,0.24139683,12
1,2004,0.17845462,11
1,2005,0.23718111,9
1,2006,0.2636251,15
1,2007,0.39057568,15
1,2008,0.36524588,18
1,2009,0.23806527,15
1,2010,0.231074,4
1,2011,0.2582298,8
2,2006,0.42152032,9
2,2007,0.5398122,14
2,2008,0.5056848,16
2,2009,0.56280595,16
2,2010,0.62095106,16
2,2011,0.51398367,17
2,2012,0.5559806,17
2,2013,0.6567903,17
2,2014,0.76275456,17
2,2015,0.7719091,18
2,2016,0.7649558,20
3,2001,0.15385169,9
3,2003,0.42441034,11
3,2004,0.3739278,13
3,2005,0.5011041,17
3,2006,0.50923884,16
3,2007,0.5183506,16
3,2008,0.3677812,15
3,2009,0.33526817,14
3,2010,0.49226284,18
3,2011,0.5053323,18
3,2012,0.49556816,18
3,2013,0.47606495,18
3,2014,0.40069947,17
3,2015,0.21995713,11
3,2016,0.29724935,17
3,2017,0.23758125,11
3,2018,0.27565366,15
3,2021,0.34445363,20
3,2022,0.33286503,17
3,2023,0.4376615,20
3,2024,0.3005115,23
3,2025,0.29330644,19
4,2007,0.18034677,16
4,2008,0.28075996,15
4,2009,0.18257575,12
4,2010,0.045346577,13
4,2011,0.08701835,14
4,2012,0.06208893,19
4,2013,0.16536708,2
5,2007,-0.37112594,1
5,2008,-0.104071185,16
5,2009,-0.06733368,13
6,2008,0.038553,14
6,2009,0.051377077,6
7,2001,0.1613174,10
