driverId,season,round,raceId,race_skill,season_skill,n_races,constructorId,driverRef,constructorRef,rank,rank_lo,rank_hi
29,2000,1,0,1.1290066242218018,1.1290066242218018,1,5,michael_schumacher,ferrari,1,1,1
21,2000,1,0,1.111690640449524,1.111690640449524,1,5,barrichello,ferrari,2,2,2
22,2000,1,0,1.0182487964630127,1.0182487964630127,1,2,ralf_schumacher,williams,3,3,3
34,2000,1,0,0.9693700075149536,0.9693700075149536,1,15,villeneuve,bar,4,4,4
1,2000,1,0,0.8425875902175903,0.8425875902175903,1,19,heidfeld,prost,5,5,5
24,2000,1,0,0.816986620426178,0.816986620426178,1,21,wurz,benetton,6,6,6
20,2000,1,0,-0.46675005555152893,-0.46675005555152893,1,21,fisichella,benetton,7,7,7
47,2000,1,0,-0.9844681024551392,-0.9844681024551392,1,17,gene,minardi,8,8,8
40,2000,1,0,-1.3824856281280518,-1.3824856281280518,1,15,zonta,bar,9,9,9
48,2000,2,1,1.3176716566085815,1.3176716566085815,1,16,frentzen,jordan,1,1,1
29,2000,2,1,1.3098520040512085,1.2194293141365051,2,5,michael_schumacher,ferrari,2,2,3
14,2000,2,1,1.1053436994552612,1.1053436994552612,1,16,trulli,jordan,3,3,4
22,2000,2,1,1.1880183219909668,1.1031335592269897,2,2,ralf_schumacher,williams,4,2,5
17,2000,2,1,1.0827670097351074,1.0827670097351074,1,2,button,williams,5,4,5
20,2000,2,1,-0.4454803764820099,-0.4561152160167694,2,21,fisichella,benetton,6,6,6
36,2000,2,1,-0.8285531997680664,-0.8285531997680664,1,20,rosa,arrows,7,7,7
49,2000,2,1,-0.9392924904823303,-0.9392924904823303,1,20,verstappen,arrows,8,8,8
59,2000,2,1,-0.9815990924835205,-0.9815990924835205,1,17,mazzacane,minardi,9,9,9
40,2000,2,1,-1.452789306640625,-1.4176374673843384,2,15,zonta,bar,10,10,10
56,2000,3,2,1.2544617652893066,1.2544617652893066,1,0,hakkinen,mclaren,1,1,2
29,2000,3,2,1.2398191690444946,1.2262259324391682,3,5,michael_schumacher,ferrari,2,1,3
21,2000,3,2,1.2150026559829712,1.1633466482162476,2,5,barrichello,ferrari,3,2,5
14,2000,3,2,1.1265169382095337,1.1159303188323975,2,16,trulli,jordan,4,3,5
55,2000,3,2,1.1119370460510254,1.1119370460510254,1,18,irvine,jaguar,5,3,5
13,2000,3,2,1.0500117540359497,1.0500117540359497,1,0,coulthard,mclaren,6,6,7
34,2000,3,2,1.0584497451782227,1.0139098763465881,2,15,villeneuve,bar,7,6,7
63,2000,3,2,0.920083224773407,0.920083224773407,1,14,diniz,sauber,8,8,8
24,2000,3,2,0.8908281922340393,0.8539074063301086,2,21,wurz,benetton,9,9,9
64,2000,3,2,-0.18439525365829468,-0.18439525365829468,1,18,herbert,jaguar,10,10,10
20,2000,3,2,-0.5179067850112915,-0.4767124056816101,3,21,fisichella,benetton,11,11,11
49,2000,3,2,-1.122583031654358,-1.0309377610683441,2,20,verstappen,arrows,12,12,14
62,2000,3,2,-1.038551926612854,-1.038551926612854,1,14,salo,sauber,13,12,14
59,2000,3,2,-1.1691203117370605,-1.0753597021102905,2,17,mazzacane,minardi,14,12,14
40,2000,3,2,-1.5265893936157227,-1.453954776128133,3,15,zonta,bar,15,15,15
48,2000,4,3,1.2884646654129028,1.3030681610107422,2,16,frentzen,jordan,1,1,1
56,2000,4,3,1.2795751094818115,1.267018437385559,2,0,hakkinen,mclaren,2,2,3
29,2000,4,3,1.169785499572754,1.2121158242225647,4,5,michael_schumacher,ferrari,3,2,3
55,2000,4,3,1.1227978467941284,1.117367446422577,2,18,irvine,jaguar,4,4,5
14,2000,4,3,1.0529474020004272,1.0949360132217407,3,16,trulli,jordan,5,4,7
22,2000,4,3,1.0462064743041992,1.0841578642527263,3,2,ralf_schumacher,williams,6,4,9
17,2000,4,3,1.0300695896148682,1.0564182996749878,2,2,button,williams,7,6,8
13,2000,4,3,1.0546801090240479,1.0523459315299988,2,0,coulthard,mclaren,8,6,8
34,2000,4,3,0.9889553785324097,1.0055917104085286,3,15,villeneuve,bar,9,8,9
63,2000,4,3,0.9117587804794312,0.9159210026264191,2,14,diniz,sauber,10,10,10
24,2000,4,3,0.8211051225662231,0.8429733117421468,3,21,wurz,benetton,11,11,11
54,2000,4,3,0.09497867524623871,0.09497867524623871,1,19,alesi,prost,12,12,12
64,2000,4,3,-0.303167462348938,-0.24378135800361633,2,18,herbert,jaguar,13,13,13
20,2000,4,3,-0.5900110602378845,-0.5050370693206787,4,21,fisichella,benetton,14,14,14
47,2000,4,3,-1.162385106086731,-1.073426604270935,2,17,gene,minardi,15,15,17
59,2000,4,3,-1.245820164680481,-1.132179856300354,3,17,mazzacane,minardi,16,15,17
62,2000,4,3,-1.2427397966384888,-1.1406458616256714,2,14,salo,sauber,17,15,17
48,2000,5,4,1.3160154819488525,1.307383934656779,3,16,frentzen,jordan,1,1,2
56,2000,5,4,1.3102147579193115,1.2814172108968098,3,0,hakkinen,mclaren,2,1,2
29,2000,5,4,1.2003402709960938,1.2097607135772706,5,5,michael_schumacher,ferrari,3,3,4
21,2000,5,4,1.1781330108642578,1.1682754357655842,3,5,barrichello,ferrari,4,3,5
55,2000,5,4,1.1532237529754639,1.1293195486068726,3,18,irvine,jaguar,5,4,6
14,2000,5,4,1.0804439783096313,1.0913130044937134,4,16,trulli,jordan,6,6,8
22,2000,5,4,1.0768307447433472,1.0823260843753815,4,2,ralf_schumacher,williams,7,4,9
13,2000,5,4,1.0850130319595337,1.0632349650065105,3,0,coulthard,mclaren,8,6,9
17,2000,5,4,1.0572679042816162,1.0567015012105305,3,2,button,williams,9,7,9
1,2000,5,4,0.8797875046730042,0.8611875474452972,2,19,heidfeld,prost,10,10,11
24,2000,5,4,0.8519287705421448,0.8452121764421463,4,21,wurz,benetton,11,10,11
64,2000,5,4,-0.2746860980987549,-0.25408293803532916,3,18,herbert,jaguar,12,12,12
20,2000,5,4,-0.5612473487854004,-0.5162791252136231,5,21,fisichella,benetton,13,13,13
47,2000,5,4,-1.1340084075927734,-1.0936205387115479,3,17,gene,minardi,14,14,16
59,2000,5,4,-1.2210314273834229,-1.1543927490711212,4,17,mazzacane,minardi,15,14,16
62,2000,5,4,-1.2155396938323975,-1.1656104723612468,3,14,salo,sauber,16,14,16
40,2000,5,4,-1.5674704313278198,-1.4823336899280548,4,15,zonta,bar,17,17,17
56,2000,6,5,1.3039616346359253,1.2870533168315887,4,0,hakkinen,mclaren,1,1,1
29,2000,6,5,1.1940135955810547,1.2071361939112346,6,5,michael_schumacher,ferrari,2,2,3
21,2000,6,5,1.1722071170806885,1.1692583560943604,4,5,barrichello,ferrari,3,2,3
13,2000,6,5,1.0784947872161865,1.0670499205589294,4,0,coulthard,mclaren,4,4,5
17,2000,6,5,1.0480382442474365,1.054535686969757,4,2,button,williams,5,4,5
63,2000,6,5,0.935717761516571,0.9225199222564697,3,14,diniz,sauber,6,6,6
24,2000,6,5,0.8458347320556641,0.8453366875648498,5,21,wurz,benetton,7,7,7
54,2000,6,5,0.08766643702983856,0.09132255613803864,2,19,alesi,prost,8,8,8
64,2000,6,5,-0.2828060984611511,-0.26126372814178467,4,18,herbert,jaguar,9,9,9
20,2000,6,5,-0.5691230893135071,-0.5250864525636038,6,21,fisichella,benetton,10,10,10
36,2000,6,5,-1.0461505651474,-0.9373518824577332,2,20,rosa,arrows,11,11,11
59,2000,6,5,-1.2323458194732666,-1.1699833631515504,5,17,mazzacane,minardi,12,12,12
48,2000,7,6,1.2392523288726807,1.2903510332107544,4,16,frentzen,jordan,1,1,2
56,2000,7,6,1.2357813119888306,1.276798915863037,5,0,hakkinen,mclaren,2,1,2
21,2000,7,6,1.1043097972869873,1.1562686443328858,5,5,barrichello,ferrari,3,3,4
55,2000,7,6,1.0789475440979004,1.1167265474796295,4,18,irvine,jaguar,4,3,4
13,2000,7,6,1.010084867477417,1.055656909942627,5,0,coulthard,mclaren,5,5,5
34,2000,7,6,0.9459593296051025,0.9906836152076721,4,15,villeneuve,bar,6,6,6
1,2000,7,6,0.8059344291687012,0.8427698413530985,3,19,heidfeld,prost,7,7,7
64,2000,7,6,-0.3526012897491455,-0.27953124046325684,5,18,herbert,jaguar,8,8,8
20,2000,7,6,-0.6387069225311279,-0.5413179482732501,7,21,fisichella,benetton,9,9,9
62,2000,7,6,-1.292606234550476,-1.197359412908554,4,14,salo,sauber,10,10,10
56,2000,8,7,1.298040747642517,1.2803392211596172,6,0,hakkinen,mclaren,1,1,1
29,2000,8,7,1.1913776397705078,1.2048849718911308,7,5,michael_schumacher,ferrari,2,2,2
