model,model_level,lambda_orthogonal,driver_ref,driverId,old_constructor_ref,new_constructor_ref,old_season,new_season,round,raceId,actual,pred_new,pred_old,delta,old_tier,new_tier,tier_dir
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,1,411,6.0,3.5008797645568848,2.3708181381225586,1.1300616264343262,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,1,411,4.0,5.066499710083008,5.661894798278809,-0.5953950881958008,B,S,2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,2,412,5.0,4.187263488769531,4.79484224319458,-0.6075787544250488,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,3,413,8.0,4.813224792480469,3.6104207038879395,1.2028040885925293,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,3,413,3.0,4.187263488769531,4.79484224319458,-0.6075787544250488,B,S,2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,4,414,4.0,5.644157409667969,6.23992919921875,-0.5957717895507812,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,4,414,5.0,3.9229788780212402,2.744049072265625,1.1789298057556152,S,B,-2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,5,415,7.0,3.2045505046844482,2.1694765090942383,1.03507399559021,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,5,415,5.0,5.8408074378967285,6.497385501861572,-0.6565780639648438,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,6,416,6.0,3.7649011611938477,2.5773260593414307,1.187575101852417,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,6,416,3.0,3.5813863277435303,4.208981513977051,-0.6275951862335205,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,7,417,9.0,4.813224792480469,3.6104207038879395,1.2028040885925293,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,7,417,5.0,4.187263488769531,4.79484224319458,-0.6075787544250488,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,8,418,11.0,5.433416366577148,4.230611801147461,1.2028045654296875,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,8,418,3.0,3.8861212730407715,4.505824565887451,-0.6197032928466797,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,9,419,7.0,4.606494903564453,3.403690814971924,1.2028040885925293,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,9,419,4.0,4.777482032775879,5.37287712097168,-0.5953950881958008,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,11,421,11.0,4.183562755584717,3.031132936477661,1.1524298191070557,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,11,421,4.0,3.5813863277435303,4.208981513977051,-0.6275951862335205,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,12,422,14.0,4.940279483795166,3.737475633621216,1.2028038501739502,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,12,422,3.0,4.187263488769531,4.79484224319458,-0.6075787544250488,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,13,423,20.0,3.9766645431518555,2.7838337421417236,1.1928308010101318,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,13,423,3.0,2.4341440200805664,2.6298556327819824,-0.19571161270141602,B,S,2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,14,424,4.0,4.551227569580078,5.153059005737305,-0.6018314361572266,B,S,2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,15,425,2.0,4.187263488769531,4.79484224319458,-0.6075787544250488,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,16,426,13.0,4.932738304138184,3.729933738708496,1.2028045654296875,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,16,426,3.0,3.853365898132324,4.332115173339844,-0.47874927520751953,B,S,2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,17,427,14.0,4.692139148712158,5.111054420471191,-0.4189152717590332,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,17,427,11.0,5.600308418273926,4.3975043296813965,1.2028040885925293,S,B,-2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,18,428,15.0,4.813224792480469,3.6104207038879395,1.2028040885925293,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,18,428,8.0,4.777482032775879,5.37287712097168,-0.5953950881958008,B,S,2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,19,429,5.0,4.024792671203613,4.648296356201172,-0.6235036849975586,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,20,430,10.0,3.5008797645568848,2.3708181381225586,1.1300616264343262,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,20,430,4.0,2.971916437149048,3.2378861904144287,-0.26596975326538086,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,21,431,9.0,5.894255638122559,4.691451072692871,1.2028045654296875,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,21,431,1.0,3.110008478164673,3.3107006549835205,-0.20069217681884766,B,S,2.0
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,22,432,15.0,6.053606033325195,4.850801944732666,1.2028040885925293,S,B,-2.0
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,22,432,5.0,4.187263488769531,4.79484224319458,-0.6075787544250488,B,S,2.0
