model,model_level,lambda_orthogonal,driver_ref,driverId,old_constructor_ref,new_constructor_ref,old_season,new_season,old_tier,new_tier,tier_dir,delta_mean,pred_new_mean,pred_old_mean,actual_mean,n_races
model_no_orthogonal,zero,0.0,bottas,821,mercedes,alfa,2021,2022,S,B,-2.0,1.178529697306016,4.585599464528701,3.407069767222685,10.411764705882353,17
model_no_orthogonal,zero,0.0,russell,845,williams,mercedes,2021,2022,B,S,2.0,-0.5402035486130488,4.1864998908269975,4.726703439440046,4.380952380952381,21
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,A,B,-1.0,0.17328841345650808,5.762816610790434,5.589528197333927,14.285714285714286,21
model_no_orthogonal,zero,0.0,de_vries,854,williams,alphatauri,2022,2023,B,B,0.0,0.15898365444607204,7.172562811109755,7.013579156663683,15.444444444444445,9
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,A,A,0.0,-0.8592085838317871,3.1506176590919495,4.009826242923737,5.6,20
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,B,A,1.0,1.1930330594380696,5.702864737737746,4.509831678299677,10.238095238095237,21
model_no_orthogonal,zero,0.0,ricciardo,816,mclaren,alphatauri,2022,2023,A,B,-1.0,0.6508862972259521,4.920125961303711,4.269239664077759,12.714285714285714,7
model_no_orthogonal,zero,0.0,hulkenberg,807,haas,sauber,2024,2025,B,B,0.0,-0.3902182340621948,6.08472158908844,6.474939823150635,11.4,20
model_no_orthogonal,zero,0.0,hamilton,0,mercedes,ferrari,2024,2025,S,S,0.0,-0.16886281967163086,2.307340519768851,2.476203339440482,7.0,21
model_no_orthogonal,zero,0.0,tsunoda,850,rb,red_bull,2024,2025,B,S,2.0,0.3492089561794115,5.034797398940377,4.685588442760965,12.304347826086957,23
model_no_orthogonal,zero,0.0,ocon,838,alpine,haas,2024,2025,A,B,-1.0,-0.8448552670686141,6.0802928883096445,6.925148155378259,12.173913043478262,23
model_no_orthogonal,zero,0.0,sainz,831,ferrari,williams,2024,2025,S,B,-2.0,0.7736338555812836,4.353368163108826,3.5797343075275423,10.75,20
model_no_orthogonal,zero,0.0,colapinto,860,williams,alpine,2024,2025,B,A,1.0,1.4502852103289436,7.039567442501292,5.589282232172349,15.823529411764707,17
model_no_orthogonal,zero,0.0,hadjar,870,rb,red_bull,2025,2026,B,S,2.0,0.4880469110276964,5.6724963717990455,5.184449460771349,6.444444444444445,9
model_ablation_l01,low,0.1,bottas,821,mercedes,alfa,2021,2022,S,B,-2.0,-1.8483839736265295,0.6361947129754459,2.4845786866019752,10.411764705882353,17
model_ablation_l01,low,0.1,russell,845,williams,mercedes,2021,2022,B,S,2.0,1.0027052316637266,1.5922466459728422,0.5895414143091157,4.380952380952381,21
model_ablation_l01,low,0.1,hulkenberg,807,aston_martin,haas,2022,2023,A,B,-1.0,-0.603416730250631,1.1893153701509749,1.792732100401606,14.285714285714286,21
model_ablation_l01,low,0.1,de_vries,854,williams,alphatauri,2022,2023,B,B,0.0,0.9072347217135959,3.924809906217787,3.017575184504191,15.444444444444445,9
model_ablation_l01,low,0.1,alonso,3,alpine,aston_martin,2022,2023,A,A,0.0,-0.18656469509005547,0.17418338134884834,0.36074807643890383,5.6,20
model_ablation_l01,low,0.1,gasly,452,alphatauri,alpine,2022,2023,B,A,1.0,-0.6217532753944397,2.13826870066779,2.7600219760622298,10.238095238095237,21
model_ablation_l01,low,0.1,ricciardo,816,mclaren,alphatauri,2022,2023,A,B,-1.0,-0.07567565781729561,3.0654917785099576,3.1411674363272533,12.714285714285714,7
model_ablation_l01,low,0.1,hulkenberg,807,haas,sauber,2024,2025,B,B,0.0,0.6438007950782776,2.5334962785243986,1.8896954834461213,11.4,20
model_ablation_l01,low,0.1,hamilton,0,mercedes,ferrari,2024,2025,S,S,0.0,0.23853066989353724,1.805399395170666,1.5668687252771287,7.0,21
model_ablation_l01,low,0.1,tsunoda,850,rb,red_bull,2024,2025,B,S,2.0,-1.247139018514882,3.628453368725984,4.875592387240866,12.304347826086957,23
model_ablation_l01,low,0.1,ocon,838,alpine,haas,2024,2025,A,B,-1.0,-0.9432876084161841,1.7562272989231607,2.6995149073393447,12.173913043478262,23
model_ablation_l01,low,0.1,sainz,831,ferrari,williams,2024,2025,S,B,-2.0,-1.2603987514972688,1.7761699557304382,3.036568707227707,10.75,20
model_ablation_l01,low,0.1,colapinto,860,williams,alpine,2024,2025,B,A,1.0,0.2819374308866613,2.494041505981894,2.2121040750952328,15.823529411764707,17
model_ablation_l01,low,0.1,hadjar,870,rb,red_bull,2025,2026,B,S,2.0,-1.505999379687839,2.9930519262949624,4.4990513059828015,6.444444444444445,9
model_orthogonal,high,1.0,bottas,821,mercedes,alfa,2021,2022,S,B,-2.0,0.567993304308723,4.655905793694889,4.087912489386166,10.411764705882353,17
model_orthogonal,high,1.0,russell,845,williams,mercedes,2021,2022,B,S,2.0,-0.9733839744613284,2.902955790360769,3.876339764822097,4.380952380952381,21
model_orthogonal,high,1.0,hulkenberg,807,aston_martin,haas,2022,2023,A,B,-1.0,-0.12276692617507208,4.79009215037028,4.912859076545352,14.285714285714286,21
model_orthogonal,high,1.0,de_vries,854,williams,alphatauri,2022,2023,B,B,0.0,-0.006732887691921658,8.086309697892931,8.093042585584852,15.444444444444445,9
model_orthogonal,high,1.0,alonso,3,alpine,aston_martin,2022,2023,A,A,0.0,0.23392592668533324,3.577006149291992,3.343080222606659,5.6,20
model_orthogonal,high,1.0,gasly,452,alphatauri,alpine,2022,2023,B,A,1.0,-0.2315999326251802,4.779468479610625,5.011068412235805,10.238095238095237,21
model_orthogonal,high,1.0,ricciardo,816,mclaren,alphatauri,2022,2023,A,B,-1.0,0.7765948602131435,5.701073748724801,4.924478888511658,12.714285714285714,7
model_orthogonal,high,1.0,hulkenberg,807,haas,sauber,2024,2025,B,B,0.0,-0.25579688549041746,5.722261667251587,5.978058552742004,11.4,20
model_orthogonal,high,1.0,hamilton,0,mercedes,ferrari,2024,2025,S,S,0.0,-0.2278938577288673,3.5081770703906106,3.736070928119478,7.0,21
model_orthogonal,high,1.0,tsunoda,850,rb,red_bull,2024,2025,B,S,2.0,3.22686906936376,4.14751767853032,0.92064860916656,12.304347826086957,23
model_orthogonal,high,1.0,ocon,838,alpine,haas,2024,2025,A,B,-1.0,0.12982637985892917,6.0073552753614345,5.877528895502505,12.173913043478262,23
model_orthogonal,high,1.0,sainz,831,ferrari,williams,2024,2025,S,B,-2.0,1.1437635332345963,4.880537515878677,3.736773982644081,10.75,20
model_orthogonal,high,1.0,colapinto,860,williams,alpine,2024,2025,B,A,1.0,-0.23736821903901942,7.850843906402588,8.088212125441608,15.823529411764707,17
model_orthogonal,high,1.0,hadjar,870,rb,red_bull,2025,2026,B,S,2.0,3.425735592842102,4.678955131106907,1.2532195382648044,6.444444444444445,9
